epoch,pretrain_loss
1.000000000000000000e+00,3.582377481460571111e+00
2.000000000000000000e+00,3.510920097209789148e+00
3.000000000000000000e+00,3.453472780298303846e+00
4.000000000000000000e+00,3.437549190168027735e+00
5.000000000000000000e+00,3.436483610117877063e+00
6.000000000000000000e+00,3.418528955954092563e+00
7.000000000000000000e+00,3.430325670595522070e+00
8.000000000000000000e+00,3.396018920121369522e+00
9.000000000000000000e+00,3.415591451856824889e+00
1.000000000000000000e+01,3.407496270426997320e+00
1.100000000000000000e+01,3.405344050901907504e+00
1.200000000000000000e+01,3.359636661741468799e+00
1.300000000000000000e+01,3.391573568626686352e+00
1.400000000000000000e+01,3.415704875522189710e+00
1.500000000000000000e+01,3.390999403706303372e+00
1.600000000000000000e+01,3.387525592026887189e+00
1.700000000000000000e+01,3.372467920515272333e+00
1.800000000000000000e+01,3.328361267513698873e+00
1.900000000000000000e+01,3.281855818960401905e+00
2.000000000000000000e+01,3.230596413435759207e+00
2.100000000000000000e+01,3.229441963301764584e+00
2.200000000000000000e+01,3.001781687913117391e+00
2.300000000000000000e+01,2.863740615491513708e+00
2.400000000000000000e+01,2.716610941180476413e+00
2.500000000000000000e+01,2.558192170107806085e+00
2.600000000000000000e+01,2.374796865604541729e+00
2.700000000000000000e+01,2.160062763426038757e+00
2.800000000000000000e+01,2.007561499101144342e+00
2.900000000000000000e+01,1.793762446774376684e+00
3.000000000000000000e+01,1.690104171081825646e+00
3.100000000000000000e+01,1.569527853639037573e+00
3.200000000000000000e+01,1.374740944306055646e+00
3.300000000000000000e+01,1.280600594591211339e+00
3.400000000000000000e+01,1.187580449051327092e+00
3.500000000000000000e+01,1.031632676610240162e+00
3.600000000000000000e+01,9.891155538735566521e-01
3.700000000000000000e+01,9.527045089889455420e-01
3.800000000000000000e+01,8.042192059534567505e-01
3.900000000000000000e+01,8.919374504575022788e-01
4.000000000000000000e+01,7.555457557793017198e-01
4.100000000000000000e+01,7.246777097384135002e-01
4.200000000000000000e+01,6.484964786856263208e-01
4.300000000000000000e+01,5.956167883343166380e-01
4.400000000000000000e+01,5.679028970223886086e-01
4.500000000000000000e+01,5.666349377897050843e-01
4.600000000000000000e+01,5.441933258816048502e-01
4.700000000000000000e+01,5.758639956238092994e-01
4.800000000000000000e+01,5.799085594989635828e-01
4.900000000000000000e+01,4.794980340533786523e-01
5.000000000000000000e+01,5.138254064100760132e-01
5.100000000000000000e+01,5.120877239439222128e-01
5.200000000000000000e+01,5.741596835630911055e-01
5.300000000000000000e+01,4.844348135921690002e-01
5.400000000000000000e+01,3.974307734657216984e-01
5.500000000000000000e+01,5.244151352732270288e-01
5.600000000000000000e+01,4.585329899909319495e-01
5.700000000000000000e+01,4.785463551128352200e-01
5.800000000000000000e+01,5.074529471220793342e-01
5.900000000000000000e+01,4.003030812022862484e-01
6.000000000000000000e+01,3.780830988177546481e-01
6.100000000000000000e+01,4.315550183808362084e-01
6.200000000000000000e+01,4.812118409684411069e-01
6.300000000000000000e+01,4.763472320856871334e-01
6.400000000000000000e+01,5.156326809001189337e-01
6.500000000000000000e+01,4.310671144061618554e-01
6.600000000000000000e+01,3.804015131184348419e-01
6.700000000000000000e+01,4.548161594956009468e-01
6.800000000000000000e+01,4.587767956433472794e-01
6.900000000000000000e+01,3.993525256161336578e-01
7.000000000000000000e+01,4.554275003848252679e-01
7.100000000000000000e+01,4.011340811296745801e-01
7.200000000000000000e+01,3.817484144811277291e-01
7.300000000000000000e+01,4.037352536011625248e-01
7.400000000000000000e+01,4.311372690730624901e-01
7.500000000000000000e+01,3.659242112879400044e-01
7.600000000000000000e+01,4.328187061680687786e-01
7.700000000000000000e+01,4.259817025175801075e-01
7.800000000000000000e+01,3.260841724773247963e-01
7.900000000000000000e+01,3.881483586298095090e-01
8.000000000000000000e+01,3.750116099362020283e-01
8.100000000000000000e+01,3.451158701821609998e-01
8.200000000000000000e+01,3.329425316579915917e-01
8.300000000000000000e+01,3.916853746054348995e-01
8.400000000000000000e+01,3.865738775581121223e-01
8.500000000000000000e+01,2.876094084095071612e-01
8.600000000000000000e+01,3.475459390216403266e-01
8.700000000000000000e+01,3.730537858550195263e-01
8.800000000000000000e+01,3.418236312077001515e-01
8.900000000000000000e+01,4.714797214225486255e-01
9.000000000000000000e+01,3.992677723919904054e-01
9.100000000000000000e+01,4.161061873314557125e-01
9.200000000000000000e+01,4.450952735488061807e-01
9.300000000000000000e+01,3.629969639979578888e-01
9.400000000000000000e+01,3.645415253523323074e-01
9.500000000000000000e+01,3.346348885584760624e-01
9.600000000000000000e+01,3.264907775101838494e-01
9.700000000000000000e+01,3.576752258671654361e-01
9.800000000000000000e+01,3.732091232582374629e-01
9.900000000000000000e+01,3.375603339462368568e-01
1.000000000000000000e+02,3.676964240907518722e-01
